# COVID-19 infection outcome rates, England-sourced, Wave window 2020.
# GENERATED by scripts/build_outcome_rates.py - edit that, not this file.
# Argument: plans/rebuild-covid-outcome-rates.md. Terms: CONTEXT.md.
# Evidence: data/infection_outcome_rates_evidence/.
#
# Rows are matched first to last, first match wins, so the four care home rows
# must stay above the general-population rows they overlap.
#
# Per column:
#   asymptomatic  sah_pnas_2021 Table 1, never symptomatic, 0.467 / 0.321 /
#                 0.197 over 0-18 / 19-59 / 60+, used whole. Not sex-split -
#                 the same paper tests sex and finds nothing (p = 0.27).
#   mild          residual. Absorbs everything the sourced columns do not take.
#   severe        [GUESS] sized at IHR. Nothing in the databank measures
#                 symptomatic-at-home-not-hospitalised. Disjoint from
#                 hospital, so this is a size estimate, not an identity, and
#                 it is never fitted.
#   hospital      IHR minus icu, icu_ifr and hospital_ifr. knock_stm_2021 S9
#                 supplies IHR; the subtraction is why an inflated IFR shrinks
#                 the ward population instead of driving severe negative.
#   icu           IHR x p_ICU (knock_stm_2021 S4) minus icu_ifr.
#   home_ifr      IFR x h, h = ONS Table 10 home share with the care home,
#                 other and elsewhere columns dropped and renormalised.
#   hospital_ifr  IFR x (1-h) x (1 - icu_share). Hospice folds in here:
#                 home_ifr is defined by residence and a hospice is not one.
#   icu_ifr       IFR x (1-h) x icu_share, icu_share from S4's pathway
#                 probabilities as a ratio only. Deaths after stepdown from
#                 ICU land here - the engine has no stepdown state.
#
# IFR is scaled by 1/0.79 (knock_stm_2021's own main text) because S9 is
# evaluated at the end of the second wave. Applied uniformly to all three
# fatal columns with no mechanism claimed, which leaves the place-of-death mix
# untouched and keeps ONS Table 10 available as an out-of-sample check. IHR is
# not scaled.
#
# Sex: IFR only, male 1.5x female (react2_ward_2021), normalised on ONS
# mid-2020 England shares so each band mean returns Knock's published figure.
# IHR is sex-neutral - no source measures it by sex - so hospital comes out
# sex-dependent by subtraction, males lower. That is derived, not asserted.
#
# 80-84, 85-89 and 90-120 CARRY THE SAME IHR AND THE SAME IFR BY CONSTRUCTION.
# This is not a copy-paste error and must not be interpolated: S9 stops at 80+
# and no source bands a rate above it. The three rows differ only in how that
# one IFR splits across the fatal columns, because Table 10 does band place of
# death to 80-84 / 85-89 / 90+.
#
# Care home rows: knock_stm_2021's resident risk group, IHR 19%, IFR 23.1%,
# unscaled - he measured residents at both vintages and the figure did not
# move. Place of death from ons_care_home_weekly_deaths_2020 (75.1% in place /
# 24.5% transferred); Scotland's transfer rate is multiplied by 45.5/64.0,
# NRS against ONS, as a ratio and never as a level. Sex is normalised on the
# resident population, not on England, since it is the resident mean that has
# to return 23.1%.
#
# Known gaps, deliberate: severe is unsourced; the asymptomatic gradient is
# international at both ends; the Scottish general population draws England's
# place-of-death split; care home rows have no age structure.
filter.age,filter.sex,filter.geo_unit.XLGU,filter.activities.residence.venue_type,asymptomatic,mild,severe,hospital,icu,home_ifr,hospital_ifr,icu_ifr
65-120,male,Scotland,care_home,0.1970000000,0.1731448493,0.1900000000,0.1315521856,0.0054253525,0.2498551508,0.0486587578,0.0043637040
65-120,female,Scotland,care_home,0.1970000000,0.2564298994,0.1900000000,0.1477717716,0.0068799206,0.1665701005,0.0324391719,0.0029091360
65-120,male,,care_home,0.1970000000,0.1947034326,0.1900000000,0.1117678555,0.0036510993,0.2282965674,0.0684430879,0.0061379573
65-120,female,,care_home,0.1970000000,0.2708022884,0.1900000000,0.1345822182,0.0056970850,0.1521977116,0.0456287253,0.0040919715
0-4,male,,,0.4670000000,0.5283852846,0.0023000000,0.0019857612,0.0001929602,0.0000147153,0.0000463214,0.0000749573
0-4,female,,,0.4670000000,0.5283901899,0.0023000000,0.0020012016,0.0002179459,0.0000098102,0.0000308809,0.0000499715
5-9,male,,,0.4670000000,0.5279836463,0.0025000000,0.0021097113,0.0002555061,0.0000163538,0.0000436112,0.0000911713
5-9,female,,,0.4670000000,0.5279890973,0.0025000000,0.0021242484,0.0002858966,0.0000109026,0.0000290742,0.0000607809
10-14,male,,,0.4670000000,0.5314550943,0.0007700000,0.0006340987,0.0000954701,0.0000049057,0.0000111733,0.0000292579
10-14,female,,,0.4670000000,0.5314567295,0.0007700000,0.0006378231,0.0001052227,0.0000032705,0.0000074489,0.0000195053
15-19,male,,,0.4670000000,0.5323383654,0.0003300000,0.0002651368,0.0000513923,0.0000016345,0.0000032150,0.0000102560
15-19,female,,,0.4670000000,0.5323389103,0.0003300000,0.0002662084,0.0000548109,0.0000010897,0.0000021434,0.0000068373
20-24,male,,,0.3210000000,0.6778567335,0.0005700000,0.0004433238,0.0000997557,0.0000032664,0.0000056660,0.0000212546
20-24,female,,,0.3210000000,0.6778578225,0.0005700000,0.0004452124,0.0001068405,0.0000021776,0.0000037773,0.0000141697
25-29,male,,,0.3210000000,0.6731787201,0.0029000000,0.0021675482,0.0005570700,0.0000212799,0.0000330673,0.0001423145
25-29,female,,,0.3210000000,0.6731858135,0.0029000000,0.0021785706,0.0006045081,0.0000141866,0.0000220449,0.0000948763
30-34,male,,,0.3210000000,0.6709671414,0.0040000000,0.0028598994,0.0008692915,0.0000328586,0.0000468744,0.0002239347
30-34,female,,,0.3210000000,0.6709780943,0.0040000000,0.0028755242,0.0009439364,0.0000219057,0.0000312496,0.0001492898
35-39,male,,,0.3210000000,0.6675489593,0.0057000000,0.0038462083,0.0014331319,0.0000510407,0.0000681608,0.0003524990
35-39,female,,,0.3210000000,0.6675659730,0.0057000000,0.0038689286,0.0015506315,0.0000340271,0.0000454405,0.0002349993
40-44,male,,,0.3210000000,0.6605062279,0.0092000000,0.0057437341,0.0026834291,0.0000937721,0.0001201765,0.0006526603
40-44,female,,,0.3210000000,0.6605374854,0.0092000000,0.0057837929,0.0029009825,0.0000625147,0.0000801176,0.0004351069
